title,state,wiki_link,imdb_link,imdb_id,year,genres,rating,votes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Beverly Hills Madam,California,https://en.wikipedia.org/wiki/Beverly_Hills_Madam,https://www.imdb.com/title/tt0090719/,tt0090719,1986,Drama,5.5,313,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beverly Hills Ninja,California,https://en.wikipedia.org/wiki/Beverly_Hills_Ninja,https://www.imdb.com/title/tt0118708/,tt0118708,1997,"Action,Comedy",5.6,37806,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Big Knife,California,https://en.wikipedia.org/wiki/The_Big_Knife,https://www.imdb.com/title/tt0047880/,tt0047880,1955,"Crime,Drama,Film-Noir",6.8,3271,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bone,California,https://en.wikipedia.org/wiki/Bone_(1972_film),https://www.imdb.com/title/tt0068306/,tt0068306,1972,"Comedy,Drama,Thriller",6.7,991,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Chicken Chronicles,California,https://en.wikipedia.org/wiki/The_Chicken_Chronicles,https://www.imdb.com/title/tt0075836/,tt0075836,1977,Comedy,5.5,295,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clueless,California,https://en.wikipedia.org/wiki/Clueless,https://www.imdb.com/title/tt0112697/,tt0112697,1995,"Comedy,Romance",6.8,180296,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Designing Woman,California,https://en.wikipedia.org/wiki/Designing_Woman,https://www.imdb.com/title/tt0050306/,tt0050306,1957,"Comedy,Romance",6.8,4134,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Designing Woman,New York,https://en.wikipedia.org/wiki/Designing_Woman,https://www.imdb.com/title/tt0050306/,tt0050306,1957,"Comedy,Romance",6.8,4134,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Down and Out in Beverly Hills,California,https://en.wikipedia.org/wiki/Down_and_Out_in_Beverly_Hills,https://www.imdb.com/title/tt0090966/,tt0090966,1986,Comedy,6.2,15389,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Hollywood Knights,California,https://en.wikipedia.org/wiki/The_Hollywood_Knights,https://www.imdb.com/title/tt0080881/,tt0080881,1980,Comedy,6.3,4178,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Horse Sense,California,https://en.wikipedia.org/wiki/Horse_Sense,https://www.imdb.com/title/tt0219813/,tt0219813,1999,"Drama,Family",6.3,1607,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Horse Sense,Montana,https://en.wikipedia.org/wiki/Horse_Sense,https://www.imdb.com/title/tt0219813/,tt0219813,1999,"Drama,Family",6.3,1607,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Looker,California,https://en.wikipedia.org/wiki/Looker,https://www.imdb.com/title/tt0082677/,tt0082677,1981,"Drama,Sci-Fi,Thriller",6.1,4682,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Pretty Persuasion,California,https://en.wikipedia.org/wiki/Pretty_Persuasion,https://www.imdb.com/title/tt0381505/,tt0381505,2005,"Comedy,Drama",6.5,9844,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pretty Woman,California,https://en.wikipedia.org/wiki/Pretty_Woman,https://www.imdb.com/title/tt0100405/,tt0100405,1990,"Comedy,Romance",7.0,283753,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Slums of Beverly Hills,California,https://en.wikipedia.org/wiki/Slums_of_Beverly_Hills,https://www.imdb.com/title/tt0120831/,tt0120831,1998,"Comedy,Drama",6.6,11919,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Society,California,https://en.wikipedia.org/wiki/Society_(film),https://www.imdb.com/title/tt0098354/,tt0098354,1989,"Comedy,Horror",6.5,14337,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Totally Spies! The Movie,California,https://en.wikipedia.org/wiki/Totally_Spies!_The_Movie,https://www.imdb.com/title/tt1042916/,tt1042916,2009,"Action,Adventure,Animation",6.4,430,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Totally Spies! The Movie,New York,https://en.wikipedia.org/wiki/Totally_Spies!_The_Movie,https://www.imdb.com/title/tt1042916/,tt1042916,2009,"Action,Adventure,Animation",6.4,430,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Troop Beverly Hills,California,https://en.wikipedia.org/wiki/Troop_Beverly_Hills,https://www.imdb.com/title/tt0098519/,tt0098519,1989,"Adventure,Comedy",5.8,9338,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brian Banks,California,https://en.wikipedia.org/wiki/Brian_Banks_(film),https://www.imdb.com/title/tt3920820/,tt3920820,2018,"Biography,Drama,Sport",7.2,4149,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
